Failure : 11, Danger : 13, Collison : 3, Success : 108, Average Reward : -2690.0409836065573, Number of steps : 2710
Failure : 16, Danger : 15, Collison : 5, Success : 113, Average Reward : -3974.5671641791046, Number of steps : 3101
Failure : 7, Danger : 23, Collison : 9, Success : 108, Average Reward : -7522.540322580645, Number of steps : 3132
Failure : 9, Danger : 15, Collison : 7, Success : 204, Average Reward : -3319.3863636363635, Number of steps : 3090
Failure : 8, Danger : 5, Collison : 5, Success : 200, Average Reward : -2488.258215962441, Number of steps : 3077
Failure : 13, Danger : 4, Collison : 4, Success : 199, Average Reward : -1990.5787037037037, Number of steps : 3055
Failure : 11, Danger : 10, Collison : 3, Success : 185, Average Reward : -1666.4070351758794, Number of steps : 3174
Failure : 8, Danger : 6, Collison : 5, Success : 194, Average Reward : -2558.6376811594205, Number of steps : 3031
Failure : 15, Danger : 16, Collison : 3, Success : 127, Average Reward : -2290.2575177370186, Number of steps : 3081
Failure : 15, Danger : 9, Collison : 10, Success : 206, Average Reward : -4459.74025974026, Number of steps : 3080
Failure : 10, Danger : 54, Collison : 4, Success : 76, Average Reward : -4821.211111111111, Number of steps : 3103
Failure : 9, Danger : 16, Collison : 5, Success : 163, Average Reward : -2995.3508418638476, Number of steps : 3000
Failure : 10, Danger : 24, Collison : 2, Success : 108, Average Reward : -1930.3666666666666, Number of steps : 3008
Failure : 6, Danger : 15, Collison : 9, Success : 163, Average Reward : -5231.005617977528, Number of steps : 3102
Failure : 13, Danger : 29, Collison : 3, Success : 97, Average Reward : -2949.238938053097, Number of steps : 3116
Failure : 11, Danger : 20, Collison : 5, Success : 116, Average Reward : -4016.719696969697, Number of steps : 2899
Failure : 6, Danger : 26, Collison : 3, Success : 110, Average Reward : -2783.731092436975, Number of steps : 2989
Failure : 14, Danger : 14, Collison : 6, Success : 159, Average Reward : -3530.6759776536314, Number of steps : 3144
Failure : 12, Danger : 13, Collison : 4, Success : 149, Average Reward : -2616.212121212121, Number of steps : 3103
Failure : 9, Danger : 33, Collison : 6, Success : 137, Average Reward : -4157.6973684210525, Number of steps : 3085
Failure : 13, Danger : 15, Collison : 7, Success : 124, Average Reward : -5073.5710389187425, Number of steps : 2953
Failure : 10, Danger : 24, Collison : 4, Success : 105, Average Reward : -3625.6638655462184, Number of steps : 2987
Failure : 9, Danger : 11, Collison : 5, Success : 163, Average Reward : -3000.3446327683614, Number of steps : 3089
Failure : 9, Danger : 13, Collison : 5, Success : 179, Average Reward : -2749.5544041450776, Number of steps : 3080
Failure : 11, Danger : 3, Collison : 2, Success : 172, Average Reward : -1243.8702702702703, Number of steps : 3024
Failure : 9, Danger : 20, Collison : 3, Success : 167, Average Reward : -1849.927374301676, Number of steps : 3086
Failure : 11, Danger : 18, Collison : 7, Success : 149, Average Reward : -4380.964071856288, Number of steps : 3096
Failure : 8, Danger : 7, Collison : 4, Success : 172, Average Reward : -2340.8315217391305, Number of steps : 3084
Failure : 7, Danger : 7, Collison : 5, Success : 181, Average Reward : -2748.683937823834, Number of steps : 3086
